,0
0,0.11358853589412815
1,0.11663319093165306
2,0.1164992213945685
3,0.11434949307302503
4,0.11394287164280781
5,0.11488034141902484
6,0.11437517484906423
7,0.11307619081711219
8,0.115160928291962
9,0.1149187631885693
10,0.11697522001540459
11,0.11595281574912389
12,0.11558518477269443
13,0.11477448799734835
14,0.11686315480397962
15,0.11326608660822815
16,0.11587736522353774
17,0.11670726322085263
18,0.11321187369465127
19,0.11489596502890691
20,0.11596920303817168
21,0.11225335643421927
22,0.11403369184507083
23,0.11634438945742374
24,0.11337229081126185
25,0.1144241826174942
26,0.11558706592568047
27,0.11408144288226829
28,0.11454747367580281
29,0.11581281724266702
30,0.1144136379637214
31,0.1124407740947166
32,0.11501613131490301
33,0.11315753206757317
34,0.11285837489882262
35,0.11181916763195351
36,0.11474134539684455
37,0.11497670763235385
38,0.1134505100205591
39,0.11292828148702724
40,0.11400978592706217
41,0.11318400571982314
42,0.1155022775169586
43,0.1144004482448062
44,0.11305662219363014
45,0.1145489268321013
46,0.11349001827611835
47,0.11457353461907234
48,0.1185345631783713
49,0.11359677027406695
50,0.11441902608634244
51,0.1132621411804064
52,0.11397497227685603
53,0.11408279765170566
54,0.11339425729597061
55,0.11240711742519069
56,0.11660872434410295
57,0.11084136950081618
58,0.1170979153579698
59,0.11314979232517883
60,0.11531224450028475
61,0.11520777521261732
62,0.11432490110962243
63,0.11781783493643286
64,0.11519562368103388
65,0.11563655334718934
66,0.11525542934752045
67,0.11445119774596486
68,0.11457520705759576
69,0.11519534451875958
70,0.11214932878349532
71,0.113924385195241
72,0.11184523229911993
73,0.11488281681916705
74,0.11139216997325478
75,0.11473489926275794
76,0.11646440711915229
77,0.11493042361314634
78,0.1174936885678779
79,0.11621132435817007
80,0.11536189924326183
81,0.11696405379888815
82,0.11509071718222699
83,0.11534031447712798
84,0.11367963656744048
85,0.11337843032660996
86,0.1153931135973679
87,0.11494795041331324
88,0.11476707798219864
89,0.11601557285725721
90,0.11411805083356041
91,0.11365339842691442
92,0.11398964741556863
93,0.11344091620056304
94,0.11380233042999756
95,0.11283917759554742
96,0.1148159436819125
97,0.11577431524642946
98,0.11571629152126532
99,0.11511075496848035
100,0.11397595677384786
101,0.11286937055978034
102,0.113341758547943
103,0.11378420121667916
104,0.11353307244947558
105,0.11525557641820841
106,0.11269147245429459
107,0.1104824470284292
108,0.11394629548212205
109,0.1134440405883922
110,0.11343035761602507
111,0.11393289711671703
112,0.11298725159941324
113,0.11763868837133974
114,0.11621805246786818
115,0.11362501739202133
116,0.11349933276142816
117,0.1174159424328495
118,0.11348804396023453
119,0.1144441583234303
120,0.11384459341723892
121,0.11386486482901848
122,0.11521367371464966
123,0.11385880498133567
124,0.11576033208239793
125,0.11363024912625756
126,0.11308806343533846
127,0.11518430710226989
128,0.11605079250317157
129,0.11334387146624253
130,0.11331607444913237
131,0.11472003629699964
132,0.11561843584661731
133,0.11393289767181954
134,0.11518183605080681
135,0.11559028760177831
136,0.11323787833506699
137,0.11568836910927031
138,0.11491486460693104
139,0.11518600947996047
140,0.11513592385674318
141,0.1140161315395987
142,0.11572270054299486
143,0.11433270350728664
144,0.11546626488957966
145,0.11680347013528494
146,0.11371943999533853
147,0.11269080579443545
148,0.11450329216760809
149,0.11539157445503391
150,0.1124538663666025
151,0.11531363805251271
152,0.11430665345329108
153,0.11543683086400959
154,0.11365314360205933
155,0.11587302229699054
156,0.11462049057833974
157,0.11617480820142238
158,0.11471726137226468
159,0.11632171101056468
160,0.11664913843605045
161,0.11497533057392302
162,0.11243779648832267
163,0.11524836113299053
164,0.11542970005007613
165,0.11644936529656381
166,0.11633266397850021
167,0.11402127513771515
168,0.11347615106535304
169,0.11375872644129688
170,0.11270139842106532
171,0.11292776506379858
172,0.11875914749125602
173,0.11307056275492364
